Coin,Name,Price,1h,24h,7d,24h Volume,Mkt Cap,ID
DEFIT,Digital,0.040947649,-0.045,-0.067,0.013,1809935,721530,DEFIT.Digital
SSTX,Silver,9.15E-07,,-0.054,-0.248,2753.44,721064,SSTX.Silver
PIGX,PIGX,0.033389885,-0.029,0.004,0.007,95591,716942,PIGX.PIGX
POWER,UniPower,0.720398,-0.003,-0.05,0.099,1569.32,716504,POWER.UniPower
ETHV,Ethverse,0.064359712,-0.005,-0.121,-0.271,24670,705992,ETHV.Ethverse
DATX,DATx,0.000704673,0.027,-0.003,0.044,503385,705646,DATX.DATx
MNC,MainCoin,0.002231564,,-0.064,0.003,1090.27,705501,MNC.MainCoin
CV2,Colossuscoin,5.38E-05,0,0,0,0,703455,CV2.Colossuscoin
INK,Ink,0.001501729,0.003,-0.009,0,8883825,701990,INK.Ink
ROAD,Yellow,0.297264,0.017,-0.013,0.271,3022.15,698662,ROAD.Yellow
BSTY,GlobalBoost-Y,0.035368295,,0.011,-0.02,9416.56,698264,BSTY.GlobalBoost-Y
TAO,TaoDAO,2.37,-0.002,0.003,-0.008,322.69,695594,TAO.TaoDAO
HBN,Hobonickels,0.006196315,,-0.015,0.032,0.836503,694674,HBN.Hobonickels
BREE,CBDAO,0.631451,-0.115,0.044,0.04,54671,693084,BREE.CBDAO
HOLY,Holy,9.81,-0.002,-0.004,0.236,43000,691463,HOLY.Holy
SEOS,sEOS,3.99,-0.002,-0.019,,40647,691457,SEOS.sEOS
FUEL,Etherparty,0.000698008,-0.003,-0.033,-0.054,79020,690973,FUEL.Etherparty
EVC,EventChain,0.022088352,-0.016,-0.055,0.012,17895.51,690272,EVC.EventChain
EGEM,EtherGem,0.015200647,-0.009,-0.027,0.014,819.75,687782,EGEM.EtherGem
TME,TAMA,2159.05,0,0,0,0,686577,TME.TAMA
ECA,Electra,2.33E-05,,0.116,0.636,20.87,685144,ECA.Electra
IHT,IHT,0.000687983,0.003,-0.056,-0.401,37936,684543,IHT.IHT
SHARE,Seigniorage,0.036603354,0.048,-0.089,-0.112,365684,681307,SHARE.Seigniorage
IND,Indorse,0.015213782,,-0.091,0.023,1724.11,680477,IND.Indorse
VDV,VDV,9.69E-05,-0.006,-0.178,-0.033,14460.43,678233,VDV.VDV
PHTR,Phuture,0.123403,-0.001,0.099,0.123,6762.25,675992,PHTR.Phuture
LADZ,LADZ,0.143954,,-0.056,0.1,734.88,675886,LADZ.LADZ
PPP,PayPie,0.007413271,0,0,0,0,675243,PPP.PayPie
IVN,Investin,0.210889,,-0.031,0.491,17541.1,674754,IVN.Investin
DMT,Dark,69.57,0.053,0.008,1.021,1899359,673582,DMT.Dark
PCT,Percent,0.078245311,0,0,0,0,671275,PCT.Percent
XBP,BlitzPredict,0.001817746,-0.002,0.023,0.813,344.53,669331,XBP.BlitzPredict
TRUST,TrustDAO,0.026776149,0,0,0,0,666382,TRUST.TrustDAO
CTASK,CryptoTask,0.501195,-0.007,0.007,0.115,314540,665270,CTASK.CryptoTask
LOOT,NFTLootBox,33.76,0.007,-0.069,-0.254,324637,663067,LOOT.NFTLootBox
USE,Usechain,0.000151888,0.008,-0.033,0.1,281.1,662993,USE.Usechain
UPX,uPlexa,0.000251104,-0.001,-0.122,-0.049,423.12,662915,UPX.uPlexa
OTB,OTCBTC,0.009243757,-0.003,-0.034,-0.081,14485.05,661971,OTB.OTCBTC
PUNK-BASIC,Punk,78383,,0.175,0.651,13590.53,661778,PUNK-BASIC.Punk
DYT,DoYourTip,0.456393,0,-0.014,0.089,26619,661185,DYT.DoYourTip
ROX,Robotina,0.002506619,-0.002,-0.045,0.243,0.027572808,657012,ROX.Robotina
FORCE,Force,0.036910373,,-0.03,-0.138,6017.04,655251,FORCE.Force
DFND,dFund,0.002879498,0.108,0.013,-0.002,485311,654628,DFND.dFund
RISKMOON,Riskmoon,1.41E-09,-0.102,0.069,0.492,2338.66,653338,RISKMOON.Riskmoon
STACK,Stacker,3.37,-0.006,-0.151,-0.111,13079.02,652011,STACK.Stacker
SAT,SoMee,0.009217226,,-0.036,0.25,19299.45,651911,SAT.SoMee
CUE,CUE,65.31,0,0,0,0,649851,CUE.CUE
DEXF,Dexfolio,0.020992382,-0.005,-0.049,-0.131,7836.38,648406,DEXF.Dexfolio
MMO,MMOCoin,0.005437639,-0.028,-0.219,-0.096,2501.01,647552,MMO.MMOCoin
ASTRO,AstroTools,0.21429,,-0.037,0.034,272.81,642870,ASTRO.AstroTools
BTO,Bottos,0.001171278,0.001,0.018,-0.027,11944.51,639506,BTO.Bottos
TACO,Tacos,0.0990845,,-0.047,-0.016,71776,638547,TACO.Tacos
MSP,Mothership,0.003563243,0,0,0,0,638153,MSP.Mothership
MAS,Midas,0.001982896,-0.004,0.109,0.262,95538,636855,MAS.Midas
TDP,TrueDeck,0.015902727,0.067,0.416,-0.035,20817,636109,TDP.TrueDeck
UFI,PureFi,0.094805894,-0.009,-0.204,-0.414,86206,635136,UFI.PureFi
XNK,Ink,0.001479702,-0.002,-0.037,0.053,147.97,634951,XNK.Ink
ISLA,Insula,0.636219,0.003,-0.016,0.082,6204.81,634731,ISLA.Insula
GEAR,Bitgear,0.011549678,-0.003,-0.007,0.139,31518,634588,GEAR.Bitgear
SACT,srnArtGallery,0.157959,-0.002,0.029,0.006,13.62,631836,SACT.srnArtGallery
FF,Forefront,0.730205,,-0.043,-0.028,2558.57,629718,FF.Forefront
OZC,Ozziecoin,5.12E-05,0,0,0,0,629297,OZC.Ozziecoin
TYPH,Typhoon,0.074389917,-0.005,-0.058,0.001,258.35,629000,TYPH.Typhoon
WG0,Wrapped,315.6,0,0,0,0,628983,WG0.Wrapped
JET,Jetcoin,0.049089567,0.003,-0.05,0.107,831991,626777,JET.Jetcoin
DRT,DomRaider,0.00060097,,-0.399,-0.147,113.14,626705,DRT.DomRaider
CRDT,CRDT,0.00337404,0.001,0.004,0.893,581931,625491,CRDT.CRDT
PTM,Potentiam,0.016887344,,-0.035,-0.019,13817.01,625269,PTM.Potentiam
FRC,Freicoin,0.005472454,0,0,0,0,624931,FRC.Freicoin
VLU,Valuto,0.008425566,0.033,0.053,-0.578,360.19,624871,VLU.Valuto
AC,ACoconut,0.305658,-0.008,-0.007,0.122,321502,624473,AC.ACoconut
BDG,BitDegree,0.001609803,,-0.023,0.13,85.27,619067,BDG.BitDegree
IONC,IONChain,0.001430081,-0.005,-0.054,0.104,2467.69,617157,IONC.IONChain
AXI,Axioms,0.017511904,0,0,0,0,615420,AXI.Axioms
ESBC,ESBC,0.020871446,-0.007,-0.047,0.162,45766,614708,ESBC.ESBC
SSP,Smartshare,0.000128397,-0.007,-0.029,0.082,20832,613821,SSP.Smartshare
MAO,Mao,0.09487111,0,0,0,0,613671,MAO.Mao
HYDRO,Hydro,0.023973044,-0.004,-0.031,0.025,20229,613292,HYDRO.Hydro
BGG,Bgogo,0.000619074,-0.001,-0.009,-0.011,57229,608917,BGG.Bgogo
ROM,ROM,8.96E-06,0,0,0,0,604387,ROM.ROM
DITTO,Ditto,0.979893,0.002,0.039,0.166,2463.37,603541,DITTO.Ditto
IPC,IPChain,0.019415965,-0.004,-0.029,-0.089,51391,603105,IPC.IPChain
MFO,MoonFarm,0.376078,-0.012,-0.034,0.043,41166,602020,MFO.MoonFarm
STACY,Stacy,0.002246597,,-0.038,0.1,1428.32,600250,STACY.Stacy
YPIE,PieDAO,1.78,-0.015,-0.029,-0.027,13701.47,597188,YPIE.PieDAO
NCC,NeuroChain,0.001419713,-0.005,0.172,-0.234,73779,596048,NCC.NeuroChain
FOTO,UniqueOne,0.02097419,0,0,0,0,595428,FOTO.UniqueOne
CHAI,Chai,1.01,0,0,0,0,594957,CHAI.Chai
GRFT,Graft,0.000399947,-0.003,-0.001,0.165,21468,594677,GRFT.Graft
ARTX,ARTX,0.228743,0.002,0,0.172,7638.34,594187,ARTX.ARTX
FNX,FinNexus,0.001656445,0.015,0.135,0.042,3645.21,593796,FNX.FinNexus
TFT,The,10.6,0.043,-0.013,0.053,282724,590648,TFT.The
RED,Red,0.004517519,-0.001,-0.006,0.068,19486.88,587277,RED.Red
TOUR,Touriva,0.328525,-0.002,-0.017,28.167,12185.88,585314,TOUR.Touriva
EXF,Extend,0.000665441,-0.031,-0.031,-0.082,103.28,584868,EXF.Extend
ONC,One,0.405842,0.001,0.066,0.492,272641,582422,ONC.One
NAME,PolkaDomain,0.1661,-0.006,0.022,0.329,12117.36,582205,NAME.PolkaDomain
STSLA,sTSLA,654.63,0,0,0,0,579574,STSLA.sTSLA
VIG,VIG,0.000877543,0.02,0.081,-0.16,610.93,579323,VIG.VIG
NOV,Novara,2.83,-0.016,-0.181,-0.16,145246,579226,NOV.Novara
BDT,Block,40.66,-0.017,0.068,-0.217,17864.48,578606,BDT.Block
WFIL,Wrapped,54.4,-0.003,-0.032,0.099,8097.06,574991,WFIL.Wrapped
XIV,Project,0.022845258,0.018,-0.018,0.061,1811220,572438,XIV.Project
OPT,OpenPredict,0.330716,0,0,0,0,566747,OPT.OpenPredict
MDO,Midas,0.307598,,0.003,0.054,3943.37,564785,MDO.Midas
XDEX,XDEFI,0.042285575,-0.025,-0.045,-0.298,20585,562433,XDEX.XDEFI
ORS,Origin,0.002898964,-0.008,-0.029,-0.046,47276,562401,ORS.Origin
8PAY,8Pay,0.020358581,-0.005,-0.016,0.069,53124,555147,8PAY.8Pay
SEMI,Semitoken,0.003021982,-0.006,-0.069,-0.131,5140.74,549132,SEMI.Semitoken
WOMEN,WomenCoin,9.94E-06,0,0,0,0,548849,WOMEN.WomenCoin
LUN,Lunyr,0.202796,0.06,0.246,0.296,5005.34,548230,LUN.Lunyr
MSR,Masari,0.034902823,-0.005,-0.086,-0.051,1364.96,547089,MSR.Masari
TELOS,Teloscoin,0.002950696,0.002,0.059,0.057,385.78,544200,TELOS.Teloscoin
POLR,PolyStarter,0.293332,0.004,-0.242,-0.118,83953,543695,POLR.PolyStarter
COVA,Cova,0.000261406,-0.004,-0.047,0.04,18668.82,543460,COVA.Cova
TSF,Teslafunds,0.098050533,0.107,0.153,0.373,678.94,543097,TSF.Teslafunds
BUILD,BUILD,5.4,-0.011,0.152,0.015,93824,543048,BUILD.BUILD
BONE,Bone,0.107767,0,-0.024,-0.117,33706,540131,BONE.Bone
ETHY,Ethereum,3.88,,-0.031,0.095,1445.29,539952,ETHY.Ethereum
ZCC,ZcCoin,0.002738431,0.001,0.005,0.001,64499,539560,ZCC.ZcCoin
NFTA,NFTA,0.035828002,0.004,0.06,-0.1,2099.46,537420,NFTA.NFTA
ARQ,ArQmA,0.033351734,-0.006,-0.108,-0.199,5578.8,536737,ARQ.ArQmA
NPXSXEM,Pundi,0.000203331,-0.004,-0.044,-0.162,5448.85,536090,NPXSXEM.Pundi
BONDLY,Bondly,0.002956099,0.065,0.022,-0.202,75325,531747,BONDLY.Bondly
FLOT,Fire,0.005147544,-0.052,-0.09,0.215,2711528,528807,FLOT.Fire
AMA,MrWeb,0.026402275,-0.028,-0.01,-0.092,1321020,528155,AMA.MrWeb
VTX,Vortex,0.01623908,,-0.035,0.09,5316.32,526396,VTX.Vortex
QCH,QChi,0.024475943,-0.034,-0.05,0.124,2405.08,525983,QCH.QChi
MTHD,Method,0.014907256,-0.006,-0.046,0.008,431.02,525910,MTHD.Method
SIB,SIBCoin,0.027435336,,0.034,0.131,173.62,524877,SIB.SIBCoin
FXT,FuzeX,0.00062006,,-0.053,0.095,321.63,524550,FXT.FuzeX
UCM,UCROWDME,0.005153978,-0.015,-0.05,-0.255,6418.43,520397,UCM.UCROWDME
DIRTY,Dirty,1.24E-06,-0.005,-0.214,-0.09,1188.17,519705,DIRTY.Dirty
DACC,DACC,4.21E-05,-0.007,0.011,-0.14,34125,519189,DACC.DACC
UNL,Unilock Network,0.051835912,,-0.048,-0.175,1424.96,518359,UNL.Unilock.Network
BBP,BiblePay,0.00020105,-0.005,-0.152,-0.001,63062,514524,BBP.BiblePay
GSE,GSENetwork,2.55E-05,,0.044,0.085,6519.83,509771,GSE.GSENetwork
PAK,Pakcoin,0.006734615,0.002,-0.039,0.06,8324.24,508932,PAK.Pakcoin
SG,SocialGood,0.916007,-0.032,-0.301,-0.393,12664.03,507022,SG.SocialGood
PTD,Peseta,0.003452544,0,0,0,0,497696,PTD.Peseta
MINTME,MintMe com,0.002694471,-0.002,-0.03,0.133,870.89,496212,MINTME.MintMe.com
BTC++,PieDAO,41491,0,0,0,0,495971,BTC++.PieDAO
ELEC,Electrify Asia,0.000926857,-0.012,0.044,0.163,50701,495275,ELEC.Electrify.Asia
PTT,Proton,0.000121678,-0.006,-0.016,0.073,33709,495245,PTT.Proton
TZC,TrezarCoin,0.001919199,0.249,-0.033,-0.132,756.8,494938,TZC.TrezarCoin
TRC,Terracoin,0.022594437,0.046,0.016,0.165,320.57,492963,TRC.Terracoin
STX,Stox,0.009694569,,-0.019,-0.057,195.17,491516,STX.Stox
COFI,CoinFi,0.002206187,-0.008,0.012,-0.09,78883,490832,COFI.CoinFi
DEBASE,Debase,0.134637,0,0,0,0,489995,DEBASE.Debase
WQT,Work,0.039069214,-0.006,0.34,0.483,7414.6,488388,WQT.Work
ELE,Elevate,0.110923,,0.025,0.072,4628.35,486950,ELE.Elevate
GENE,Gene,0.001098715,0,0,0,0,486786,GENE.Gene
PGU,Polyient,1.43,0,-0.043,0.235,481.28,485647,PGU.Polyient
FERMA,Ferma,0.155802,-0.003,0.023,0.026,76325,485321,FERMA.Ferma
DVT,DeVault,0.001227059,-0.006,-0.005,-0.066,113.65,483831,DVT.DeVault
THN,Throne,1.76,,,0.119,7079.78,481032,THN.Throne
LPK,Kripton,0.000726621,0.003,-0.258,-0.552,548.37,479894,LPK.Kripton
DEB,Debitum,0.002308259,-0.006,0.044,-0.081,39636,479032,DEB.Debitum
CSPN,Crypto,0.122679,,0.042,0.105,94.93,476548,CSPN.Crypto
HGT,HelloGold,0.001317451,0,0,0,0,474128,HGT.HelloGold
ICA,Icarus,0.183646,-0.015,-0.033,-0.102,1314563,473862,ICA.Icarus
QBT,Qbao,0.007009573,-0.001,0.028,0.127,72963,472758,QBT.Qbao
KALLY,Polkally,0.011037096,0.002,-0.007,-0.102,23693,470842,KALLY.Polkally
BTI,Bitcoin,0.00348708,0,0,0,0,470649,BTI.Bitcoin
BUND,Bundles,5.37,,-0.059,-0.182,1561.46,465007,BUND.Bundles
LOT,Lukki,0.007770929,0,0,0,0,459769,LOT.Lukki
GUM,Gourmet,0.13644,-0.015,0.018,-0.339,258305,457881,GUM.Gourmet
SETH,Sether,0.022585802,-0.006,-0.049,0.109,1628.08,457335,SETH.Sether
UBEEPLE,Unicly,0.044971733,0,0,0,0,449717,UBEEPLE.Unicly
DAM,Datamine,0.103858,-0.013,-0.049,0.018,8496.59,448370,DAM.Datamine
SLM,Solomon,0.035860189,,-0.051,-0.013,296.79,447845,SLM.Solomon
TWA,Adventure,0.078967784,0,0,0,0,447588,TWA.Adventure
DPY,Delphy,0.007318423,0.001,0.039,0.23,60449,445721,DPY.Delphy
XP,XP,0.000230813,-0.005,-0.257,-0.391,33.76,444960,XP.XP
DEGOV,Degov,17.74,0,0,0,0,443482,DEGOV.Degov
OCTI,Oction,0.037213473,-0.005,-0.037,-0.259,210.1,441920,OCTI.Oction
VCN,VersaCoin,0.006429522,0,0,0,0,439181,VCN.VersaCoin
PTN,PalletOneToken,0.001106456,-0.004,0.321,1.434,10.68,434296,PTN.PalletOneToken
UKG,Unikoin,0.002903033,0,0,0,0,433705,UKG.Unikoin
SEND,Social,0.007620909,,0.327,-0.128,260.24,432391,SEND.Social
EDG,Edgeless,0.003753103,-0.008,-0.113,-0.027,53.91,432158,EDG.Edgeless
ALEX,Alex,0.059213495,0,0,0,0,431225,ALEX.Alex
BEZ,Bezop,0.006804803,0.013,-0.119,0.356,3367698,431120,BEZ.Bezop
SYC,SynchroLife,0.006488417,-0.006,-0.05,0.148,5454.73,430626,SYC.SynchroLife
ETHYS,Ethereum,3.84,0,0,0,0,427887,ETHYS.Ethereum
HUGO,Hugo,0.00059188,-0.006,-0.039,0.025,137426,427149,HUGO.Hugo
SHDW,Shadow,0.060885375,0,0,0,0,426198,SHDW.Shadow
DOGES,Dogeswap,27.88,-0.006,-0.08,-0.165,1630.1,424684,DOGES.Dogeswap
ISLA,DefiVille,0.416645,-0.039,-0.165,0.051,14787.13,423482,ISLA.DefiVille
HQX,HOQU,0.001908053,-0.006,-0.036,-0.013,2482.02,423062,HQX.HOQU
PEG,PegNet,0.000139536,-0.006,0.002,0.215,69.4,422929,PEG.PegNet
BTDX,Bitcloud,0.011374064,0,0,0,0,422509,BTDX.Bitcloud
WARP,Warp,89.91,0.006,-0.186,-0.046,71222,422210,WARP.Warp
RMPL,RMPL,0.715615,0,0,0,0,421457,RMPL.RMPL
REDC,RedChillies,1.32,-0.017,-0.055,0.154,1491.59,420948,REDC.RedChillies
XIOT,Xiotri,111.02,-0.004,-0.028,0.045,370680,420733,XIOT.Xiotri
GBX,GoByte,0.043177468,,-0.04,0.023,50.42,415518,GBX.GoByte
RNT,OneRoot,0.00147021,0.01,-0.034,-0.104,92947,415275,RNT.OneRoot
HYC,Hycon,0.000154727,0.003,-0.081,0.146,303946,413619,HYC.Hycon
MMAON,MMAON,0.020958603,0.003,0.003,-0.028,84.02,413474,MMAON.MMAON
LQD,Liquidity,0.00786933,-0.004,0.121,-0.097,307.46,410927,LQD.Liquidity
FRY,FoundryDAO,0.005406776,,-0.165,-0.197,1971.52,410608,FRY.FoundryDAO
PWR,PWR,4.00E-05,0,0,0,0,410436,PWR.PWR
BITS,Bitstar,0.019404189,0,0,0,0,410303,BITS.Bitstar
OBC,Oblichain,0.059894471,-0.001,0,0.004,1385.91,410157,OBC.Oblichain
CORGIB,The,1.42E-08,-0.03,-0.082,-0.233,6248.32,410010,CORGIB.The
EXZO,ExzoCoin,0.00010239,-0.001,-0.011,0.142,11108.44,407896,EXZO.ExzoCoin
SRH,SRH,7.78E-05,0.001,-0.161,0.106,5.96,407427,SRH.SRH
SHND,StrongHands,2.30E-05,-0.007,-0.028,-0.201,363.7,406511,SHND.StrongHands
PEPS,PEPS,0.006513543,,-0.037,0.156,255.75,403313,PEPS.PEPS
XWP,Swap,0.028368519,-0.032,0.098,0.117,757.96,401924,XWP.Swap
COMB,Combine finance,45.36,0,0,0,0,401811,COMB.Combine.finance
POE,Po et,0.000159541,,-0.054,-0.044,2.28,401593,POE.Po.et
BIOP,BIOPset,0.049632677,0,0,0,0,400548,BIOP.BIOPset
TBB,Trade,222.09,0.028,-0.024,0.215,688.49,399769,TBB.Trade
OROS,OROS finance,9.29E-08,-0.005,-0.053,0.216,2965.37,399612,OROS.OROS.finance
ARO,Arionum,0.001295304,-0.001,0.049,-0.084,31101,399492,ARO.Arionum
DANK,MU,0.01682851,-0.018,0.026,0.085,2166362,398936,DANK.MU
SUV,Suvereno,0.048252895,-0.002,-0.066,-0.331,765.69,398488,SUV.Suvereno
PLURA,PluraCoin,0.000479498,-0.002,-0.102,-0.36,319.43,397460,PLURA.PluraCoin
FEED,Feed,0.005314185,-0.005,-0.052,-0.068,1924.69,393445,FEED.Feed
X42,X42,0.019056312,-0.206,-0.116,-0.071,676.42,390413,X42.X42
SHDC,SHD,0.003399599,1.797,1.59,1.385,817.86,389408,SHDC.SHD
CNB,Coinsbit,0.000740615,-0.005,-0.041,0.034,144631,388409,CNB.Coinsbit
BPRIVA,Privapp,0.299485,-0.006,-0.103,0.433,7427.07,386713,BPRIVA.Privapp
CNS,Centric,0.000231351,0.014,0.018,-0.19,172530,386475,CNS.Centric
SVCS,GivingToServices,7.53E-05,-0.004,0.425,2.318,121.68,383907,SVCS.GivingToServices
FOXX,Star,3.67E-07,0.101,0.018,0.232,535660,383314,FOXX.Star
ZSC,Zeusshield,0.000195476,0.009,-0.132,0.406,2171.55,383138,ZSC.Zeusshield
BALPHA,bAlpha,25.4,0.186,-0.077,0.047,443577,383089,BALPHA.bAlpha
JIGG,Jiggly,0.13094,0,0,0,0,383009,JIGG.Jiggly
IFUND,Unifund,0.010846531,0,0,0,0,380825,IFUND.Unifund
DEFO,DefHold,48.6,0.006,-0.119,0.055,258121,379316,DEFO.DefHold
BCPT,Blockmason,0.003254301,0.094,-0.062,0.161,1041.7,378896,BCPT.Blockmason
OWN,OWNDATA,3.53E-05,,-0.187,-0.29,3.77,377289,OWN.OWNDATA
ETG,Ethereum,0.020958376,0.001,0.54,0.161,227.87,377251,ETG.Ethereum
TCORE,Tornado,62.68,-0.013,-0.086,0.38,398957,376145,TCORE.Tornado
MUSH,Mushroom,0.515577,0,0,0,0,376080,MUSH.Mushroom
NOR,Noir,0.018424308,-0.005,-0.018,-0.124,698.98,373692,NOR.Noir
CRP,Crypton,0.087821459,-0.002,0.003,-0.244,5424.19,373400,CRP.Crypton
RVX,Rivex,0.023749478,-0.031,0.082,0.433,8318.31,372729,RVX.Rivex
XGT,Xion,0.090491916,-0.002,-0.039,0.018,4463.55,371477,XGT.Xion
IETH,iETH,775.59,0,0,0,0,371096,IETH.iETH
WHIRL,Whirl,0.000538685,-0.004,-0.025,0.027,1850.22,371015,WHIRL.Whirl
TNC,Trinity,0.00078492,0.044,0.034,-0.067,103596,370823,TNC.Trinity
DEXG,Dextoken,6.67,-0.006,0.011,0.072,1372.96,370060,DEXG.Dextoken
KOLIN,Kolin,0.000361641,0,0,0,0,368861,KOLIN.Kolin
ZPT,Zeepin,0.000732715,0.005,-0.021,0.032,78480,366358,ZPT.Zeepin
XLR,Solaris,0.196042,-0.003,-0.026,0.004,72831,364380,XLR.Solaris
KENNEL,Token,0.060904446,0.005,-0.116,0.429,13708.35,364223,KENNEL.Token
ABX,Arbidex,0.017854586,-0.003,-0.036,0.03,89981,360178,ABX.Arbidex
BKC,FACTS,6.20E-05,0.003,0.064,0.05,16936.35,359084,BKC.FACTS
NOAHP,Noah,1.20E-05,0.015,0.366,0.926,471135,357803,NOAHP.Noah
ETZ,Ether,0.001799172,0.036,0.041,0.127,20690,355891,ETZ.Ether
DOPE,DopeCoin,0.002314445,0.002,-0.169,0.03,15494.07,355263,DOPE.DopeCoin
SPX,Sp8de,4.44E-05,0,0,0,0,354732,SPX.Sp8de
SWT,Swarm,0.04151219,-0.002,-0.043,-0.142,3.72,354351,SWT.Swarm
LATX,LatiumX,0.002973911,0,0,0,0,354249,LATX.LatiumX
GAP,Gapcoin,0.021161047,,0.132,0.13,9.71,354123,GAP.Gapcoin
SHAKE,Spaceswap,474.28,-0.059,-0.196,1.203,104688,354031,SHAKE.Spaceswap
ASAFE,AllSafe,0.030233216,-0.008,-0.135,-0.137,252.74,353349,ASAFE.AllSafe
LIT,Lition,0.004016454,0.007,-0.068,-0.143,13546.71,351156,LIT.Lition
ENT,Eternity,0.036683881,0,0,0,0,349467,ENT.Eternity
VDL,Vidulum,0.022611888,0.009,0.025,-0.057,157.59,349248,VDL.Vidulum
ALLEY,NFT,0.672006,,-0.338,-0.291,24022,347734,ALLEY.NFT
GENIX,Genix,0.00323226,,-0.104,0.192,37.41,346961,GENIX.Genix
EZW,EZOOW,2.62E-05,0,0,0,0,346587,EZW.EZOOW
HAND,ShowHand,1.52E-06,,-0.03,0.35,281.16,344308,HAND.ShowHand
SPD,SPINDLE,0.000124468,0,0,0,0,344067,SPD.SPINDLE
SCT,Clash,0.219778,,-0.155,-0.094,7009.21,342635,SCT.Clash
METRIC,MetricExchange,0.670109,,0.108,-0.141,13691.95,342634,METRIC.MetricExchange
SVX,Savix,4.49,-0.046,-0.141,0.044,1788423,342401,SVX.Savix
A,Alpha,0.006026761,,-0.029,0.174,10264.42,340721,A.Alpha
XMG,Magi,0.02398024,0,0,0,0,339029,XMG.Magi
1MT,1Million,0.404441,-0.013,0.003,0.321,18259.95,338656,1MT.1Million
SISTA,srnArtGallery,0.026453309,,-0.202,-0.357,143.36,337678,SISTA.srnArtGallery
TNS,Transcodium,0.004092926,0.166,0.067,0.449,2842083,335946,TNS.Transcodium
USDX,Dollars,0.069225702,0,0,0,0,333966,USDX.Dollars
GENE,Parkgene,0.001151973,-0.003,-0.027,-0.247,1238.6,333885,GENE.Parkgene
MZC,Maza,0.000173362,,-0.056,0.176,65.71,333883,MZC.Maza
PC,PromotionChain,7.10E-05,-0.022,-0.022,0.022,10187.51,333880,PC.PromotionChain
N3RDZ,N3RD,19.78,,-0.051,-0.157,1532.69,331546,N3RDZ.N3RD
BC,Bitcurrency,0.001205215,0.002,0.004,0.136,0.412751,330945,BC.Bitcurrency
STOP,SatoPay,0.001526689,0.011,-0.002,-0.043,63647,330186,STOP.SatoPay
HFI,Holder,1387.62,-0.001,0,-0.111,712.36,329899,HFI.Holder
BRDG,Bridge,0.001445175,0,0.819,0.662,3906.21,329639,BRDG.Bridge
PIPL,PiplCoin,0.000769323,0,0,0,0,329167,PIPL.PiplCoin
KERMAN,KERMAN,0.052150098,0,0,0,0,328621,KERMAN.KERMAN
ELY,Elysian,0.00285151,0.205,0.369,0.247,122920,327924,ELY.Elysian
DCT,Decent,0.005978982,0,0.003,-0.158,4.78,327326,DCT.Decent
ALCH,AlchemyDAO,0.057530058,0,0,0,0,324983,ALCH.AlchemyDAO
MNTP,Goldmint,0.180287,0,0,0,0,324637,MNTP.Goldmint
SWIRL,Swirl,0.24877,,-0.111,-0.083,21496,324361,SWIRL.Swirl
ALV,Allive,0.000898158,0.016,-0.023,-0.023,3269.89,323812,ALV.Allive
TYPE,Typerium,0.00043274,0.001,0.013,,89.46,320501,TYPE.Typerium
HUE,Hue,0.040916651,0,0,0,0,319816,HUE.Hue
MYB,MyBit,0.001763328,-0.002,-0.028,0.009,1354.12,319003,MYB.MyBit
EXCC,ExchangeCoin,0.012216584,-0.004,-0.021,-0.15,186403,317969,EXCC.ExchangeCoin
ADT,adToken,0.000384975,,-0.038,0.025,55.16,317219,ADT.adToken
EMD,Emerald,0.015823518,0,0,0,0,313017,EMD.Emerald
HAUT,Hauteclere,9.07,0,0,0,0,312720,HAUT.Hauteclere
TANGO,keyTango,0.063213005,-0.091,-0.081,-0.005,316020,311868,TANGO.keyTango
RENBCH,renBCH,543.54,0,0,0,0,311517,RENBCH.renBCH
INVE,InterValue,0.002199388,,-0.12,-0.267,14.16,310996,INVE.InterValue
POKELON,Pokelon Finance,3.67,-0.006,-0.033,0.61,5045.38,309135,POKELON.Pokelon.Finance
MIS,Mithril,0.872952,0.262,0.363,0.745,67679,308471,MIS.Mithril
KEN,Keysians,0.553223,-0.003,0.003,0.008,100323,308321,KEN.Keysians
PSI,Passive,62.58,-0.001,-0.001,0.054,286791,307197,PSI.Passive
VEN,ImpulseVen,0.36076,0.029,0.04,0.123,2752737,306646,VEN.ImpulseVen
DOGOWN,Dog,6.28E-10,0,0,0,0,306161,DOGOWN.Dog
SENC,Sentinel,0.000990081,0.003,-0.002,0.016,53709,306023,SENC.Sentinel
PRV,PrivacySwap,3.99,-0.013,-0.059,-0.487,28882,305467,PRV.PrivacySwap
UNDB,UniDexBot,393.55,-0.002,-0.057,-0.041,1180.66,304964,UNDB.UniDexBot
BBK,BitBlocks,0.001064453,-0.002,-0.029,0.064,692.79,304084,BBK.BitBlocks
GULAG,Gulag,6.90E-10,0.004,-0.053,-0.137,2675.03,303756,GULAG.Gulag
ALTRUCOIN,Altrucoin,4.84E-10,-0.002,-0.015,0.376,1223.52,303429,ALTRUCOIN.Altrucoin
VOX,Vox Finance,20.28,-0.017,0.014,0.538,470286,303058,VOX.Vox.Finance
TIE,Ties DB,0.007407956,0,0,0,0,302400,TIE.Ties.DB
IQ,IQ cash,0.015991032,0.2,0.007,0.218,16668.17,302019,IQ.IQ.cash
